Educational_attainmnet,Homicide_rate,Life_satisfaction
84,0.9,7.1
86,0.5,7.2
80,1.1,6.8
92,1.2,7
67,2.4,6.2
59,23.1,5.7
43,10,6.3
94,0.7,6.9
82,0.5,7.5
91,1.9,6.5
91,1.2,7.9
81,0.4,6.7
86,0.4,7.3
76,1,5.8
86,0.9,6
76,0.3,7.6
85,0.5,7
88,1.5,7.2
63,0.5,6.5
89,0.8,5.8
89,3.7,6.2
94,2.5,6.4
74,0.2,7.4
42,26.8,6
81,0.6,7.5
81,1.3,7.3
82,0.6,7.3
93,0.5,6.1
55,0.7,5.8
92,0.8,6.5
90,0.4,6.5
63,0.7,6.5
84,1.1,7.3
89,0.3,7.5
42,1,4.9
82,0.2,6.8
92,6,7
79,2.6,6.7
57,19,6.1
95,4.8,5.5
48,13.7,4.9
